@relation MyTestRelation

@attribute spamclass string
@attribute tweetcontent string

@data
Spam,'Want to work at Aerotek? We\'re #hiring in #Duluth, GA! Click for details: https://t.co/PShztQSvgX #CustomerService #Job #Jobs'
NonSpam,'It is a beautiful Saturday morning!!! Get out &amp; enjoy??????\n#HappySaturday!!! @ Clearwater Beach… https://t.co/qMmkcauTjG'
Spam,'Remember that time we got Lucas some #DoleWhip and he spilled the whole thing on his leg on his… https://t.co/bQ6CPqL93k'
Spam,'I\'m at Universidad Intercontinental - @uicmx in México, DF https://t.co/NV870nyOaZ'
Spam,'See our latest #WestStPaul, MN #job and click to apply: MACHINE OPERATOR - https://t.co/f4nllAKHtm #Manufacturing https://t.co/kk0MsO1fss'
Spam,'Just posted a photo @ Memories Bar &amp; Grill https://t.co/Vl8xlzZYN1'
Spam,'Let\'s get this Saturday started! (@ Starbucks in Crown Point, IN) https://t.co/dQZA4tB2jC'
Spam,'I just began a doing circuit training workout using #Endomondo. Peptalk me now @ https://t.co/Lsdhsl50V0'
NonSpam,'Having a slight craving for rock climbing and waterfall jumps???#stayswoopinfolks @ Linville… https://t.co/AGVQlOaFCD'
NonSpam,'Ran the B.A.A. 5k this morning with Chris Sanford and finished with the exact same time as last… https://t.co/m8ClCPqjiR'
Spam,'I\'m  proud of myself! My feet not so much.. ?? I\'m going to have to… https://t.co/Qc2s2BHRny'
Spam,'Can you recommend anyone for this #IT #job? https://t.co/5LXR45vFwh #Cleveland, OH #Hiring https://t.co/JZu6ghfmVY'
Spam,'If you\'re a #Hospitality professional in 620 MARKETPLACE DRIVE, #BELAIR, MD, check out this #job: https://t.co/72KLimPrrd #Veterans #Hiring'
Spam,'#Healthcare #Job alert: Physical Therapist (PT) /... | Accountable Healthcare Staffing | #MurrellsInlet, SC https://t.co/cnnBVRzVgv #Jobs'
Spam,'Can you recommend anyone for this #job? Clinical Project Manager - https://t.co/U2jlHyTkV5 #FairLawn, NJ #Pharmaceutical #Hiring'
Spam,'AT&amp;T #Engineering #Job: Senior eCommerce Reporting Analyst (#Atlanta, GA) https://t.co/N7JYUa6Kxg #Jobs #Hiring #CareerArc'
Spam,'South African send off! #sarahbolen #SarahPreAfrica #BolenInTheBush #FutureQueenofNamibia… https://t.co/U2t7NNhvam'
Spam,'Hair Stylist - Great Clips: (#Buford, GA) https://t.co/dRvUJifQWZ #Cosmetology #Job #Jobs #Hiring #CareerArc'
Spam,'Customer Service Associate I - Lowe\'s Stores: (#Hialeah, FL) https://t.co/WRPW3xZ3df #Retail #Job #Jobs #Hiring'
Spam,'Cleared: Closure on #US1 SB at South of Olden Ave'
Spam,'Ya estoy lista.???????? (@ Centro @Netec in Mexico, D.F.) https://t.co/55UUszDmQX'
Spam,'+followers for @jasmincadavid ?????? @ Secretaria de Gobernación SEGOB https://t.co/Oex2BzearG'
Spam,'I\'m at @DunkinDonuts in Lithonia, GA https://t.co/d6IU15ig5J'
Spam,'7:45 appointment (@ The Art of Fadez in Villa Park, IL) https://t.co/wpZl3DCh7N https://t.co/aVCF3zHDOs'
Spam,'Cleared: Incident on #I87NYSThruway NB at Exit 21 (I-87) - Catskill (Rte 23)'
Spam,'Mis campeones!! #doralparks , #nikerunning , #running , #5kdoral ,… https://t.co/2caB5qTpxz'
Spam,'Interested in a #Transportation #job near #CedarRapids, IA? This could be a great fit: https://t.co/ms2NPVV4ZL https://t.co/4Fnn8GVwmg'
Spam,'De esas veces que te piden tus apuntes y uno sólo anota el título. ??'
NonSpam,'Good morning, another successful segment! #charlotte #salisburync #wbtvandme #wbtvnews #cnbc… https://t.co/BrUyVWCtUG'
Spam,'Want to work in #Inverness, SL? View our latest opening: https://t.co/ZVoMJxGRdO #Pharmaceutical #Job #Jobs #Hiring #CareerArc'
Spam,'See our latest #NewBrunswick, NJ #job and click to apply: Senior Accountant - https://t.co/kAjyWq0gyx #Accounting #Hiring #CareerArc'
Spam,'We\'re #hiring! Read about our latest #job opening here: Call Center Manager - https://t.co/4HtRNlu14A #NEWYORK, NY #CustomerService'
Spam,'Want to work in ? View our latest opening: https://t.co/47mSniYiPU #Hospitality #Veterans #Job #Jobs #Hiring #CareerArc'
Spam,'#CareerArc #Sales #Job alert: Inside Sales Representative based in Greenville,SC | UPS | #MIAMI, FL https://t.co/LHXeF3YwLL #Jobs #Hiring'
Spam,'Want to work in #FALLSCHURCH, VA? View our latest opening: https://t.co/sgxNmVAkQl #Healthcare #Job #Jobs #Hiring #CareerArc'
NonSpam,'Morning from #Chicago! #letsmove @ Sheraton Grand Chicago https://t.co/eXhkfqbpbc'
NonSpam,'#Fayetteville, NC #Job: LPN / Licensed Practical Nurse in Fayetteville, NC at BAYADA Home Health Care https://t.co/8iyUom4SW7 #Jobs'
Spam,'Team #3, Burning Possums, I just finished my 3rd leg. #ragnar #ragnaraustin #fit2runstpete… https://t.co/QuNvE5zxQ2'
Spam,'OH - #ohiostatespringgame @ Ohio Stadium https://t.co/fSbub0Xd03'
NonSpam,'@callmedollar 10 years from now they are going to feel sorry they didn\'t pay her any mind???? #theydontknowrealmusic'
Spam,'They don\'t have no \'home\' to retire to in the future. They\'re comfortable owing the government till they die. Iss that life?'
Spam,'I\'m at Twerk in Horsham, PA https://t.co/VRmWIJssIC'
NonSpam,'It\'s our Spring Tournament day and I couldn\'t be more excited! Come… https://t.co/MDEoB22F1b'
Spam,'This is my first one day show since 2014, I streamlined my set up a little, but it still took… https://t.co/Vu8IbYmiWP'
Spam,'Officially done with all things taxes! #adult https://t.co/WyLgrQynAE'
Spam,'Lol\n\n#paulmooney #comedy @ RedBlocc https://t.co/kMLuzYmhj7'
Spam,'WE\'RE ABOUT TO GET IT IN @ The Congress Plaza Hotel &amp; Convention Center https://t.co/hgyo9hvLPH'
Spam,'I\'m at Pepsi Bottling Group in Hayward, CA https://t.co/tEIF4qlysC'
Spam,'Join the Good Samaritan Hospital team! See our latest #Physician #job opening here: https://t.co/lVIUdKuaQJ #Hiring https://t.co/EQSh17D9q6'
Spam,'Want to work in #Rhinelander, WI? View our latest opening: https://t.co/oL57AKrhZn #Engineering #paper #specialty https://t.co/N3g8DX9aIh'
Spam,'Cashier - Food - Delaware North: (#Clarence, NY) https://t.co/asugQrvSeM #Hospitality #Job #Jobs #Hiring #CareerArc'
Spam,'Can you recommend anyone for this #job? https://t.co/M9GGzR5myT #Allentown, PA #Hiring #CareerArc'
Spam,'This #Transportation #job might be a great fit for you: Truck Driver, Class A - Full Time - https://t.co/9e4R2AsNmW #POMPANOBEACH, FL'
Spam,'Buenos días...'
Spam,'Want to work in #SantaMonica, CA? View our latest opening: https://t.co/eopkeSnzMv #IT #ExploreOracle #Job #Jobs #Hiring'
Spam,'Speedway #Retail #Job: Manager Trainee-Retail Sales (#Wyoming, MI) https://t.co/E4kFxiSJCr #Jobs #Hiring #CareerArc'
Spam,'I\'m at Virginia Tech - @vtnews in Blacksburg, VA https://t.co/8MAog8jeKh'
Spam,'Robert Half Finance &amp; Accounting: Office Manager/Operations Manager/Practice Manager (#Canton, MA) https://t.co/l9doHa7QB0 #BusinessMgmt'
Spam,'Headed to KC for family, fun and of course food! #thebest #BBQ (@ Oklahoma @CityOfokc in Oklahoma City, OK, OK) https://t.co/DFdU9pLqRb'
NonSpam,'Race day!!! It couldn\'t be more beautiful out. Praise God for spring finally showing up ????… https://t.co/FO3i1ZiJGd'
Spam,'#Sales #Job in #AnnArbor, MI: Temp Sales Associate-dressbarn at dressbarn https://t.co/q5vpBNqkZ8 #Jobs #Hiring'
Spam,'I\'m at Apple Store, Rideau in Ottawa, ON https://t.co/BgZbeE3e2Y'
NonSpam,'Spring soccer season begins... coolfryz @jessicabarger2 @… https://t.co/5zUDFKBv8C'
Spam,'I\'m at Los Angeles International Airport (LAX) - @flylaxairport in Los Angeles, CA https://t.co/rCVIJrXCMX'
NonSpam,'Good morning!!! #artofvisuals #stdothis #sombrexplore #exploremn #retroluxaholics… https://t.co/ZpXvUm8Yga'
Spam,'#iwantadog when it gets dark my dog will bark at any passers-by #introspective #igdc @ Adams Morgan https://t.co/UetHtybDSO'
Spam,'This #Manufacturing #job might be a great fit for you: Warehouse Processor - https://t.co/DwEKN4ymd0 #Henrietta, NY https://t.co/xKcyoTa51g'
Spam,'Buen día, ya listo para irme al #gym \n\nPríncipe hermoso, te amo. @ La Calle De La Amargura https://t.co/0Xr4eRxk63'
Spam,'#EmergencyMedicine alert: Patient Care Associate - Medical... | Mercy | #Washington, MO https://t.co/GSsBergQ7s https://t.co/vMpwMFlZsD'
Spam,'#Team @ Especialidades Dentales https://t.co/TxzXwGGwJP'
Spam,'Buenos días alegría,buenos días señor sol.... (@ Entrada a Irapuato) https://t.co/VNmlwpxjpG https://t.co/zx7J3eJmt5'
Spam,'Ready or not, @ucsfvascular here comes uofa SALSA! @ Tucson International Airport https://t.co/IHRkO0mos0'
Spam,'Chewbacca!!!! @ ESPN Wide World of Sports https://t.co/4NktxhmYNd'
Spam,'If you\'re a #Retail professional in #Owosso, MI, check out this #job: https://t.co/lPhsQK1jmY #LoveFashionLetsTalk https://t.co/2nCqCTgqnC'
Spam,'#smart2016 @ Dave Ramsey\'s Smart Conference at Calvary Temple https://t.co/84dd5ZRdrj'
Spam,'Want to work at Sperry? We\'re #hiring in #Cincinnati, OH! Click for details: https://t.co/xBKoSy36AM #Retail #Job #Jobs #CareerArc'
Spam,'#Nursing #Job alert: Registered Nurse (RN) / Intensive Care... | Accountable Healthcare Staffing | #VeroBeach, FL https://t.co/RuUOo6Kfxa'
Spam,'Customer Service Associate II - Lowe\'s Stores: (#Aiken, SC) https://t.co/XRC0y4ItOt #Retail #Job #Jobs #Hiring'
Spam,'We\'re #hiring! Read about our latest #job opening here: Intern, Marketing - https://t.co/dn7wHCdWan #JACKSONVILLE, FL #Marketing'
Spam,'Want to work in ? View our latest opening: https://t.co/6ysqkBCkSA #Hospitality #Veterans #Job #Jobs #Hiring #CareerArc'
Spam,'#sneakpeek. Getting close to finishing this up. Do you know who it is? #markers #copic… https://t.co/geuSP5Vvxr'
Spam,'APARTMENT OF THE FUTURE PROJECT. Now music/visualizer driven.… https://t.co/8BBEmgxxP0'
Spam,'#NYCmissed Spectacular Blue Top - m4w (Road Noise) https://t.co/TTkojwPdST'
Spam,'Why I\'m doing now at work on a Saturday morning !! #studytime @ PNC Bank - Cleveland Main https://t.co/9y9yN0Ho68'
Spam,'Could not be more proud of these kids! \n\n#spartanrace #beastmode #crazydna #theobstaclestho @… https://t.co/jidH8KPiP9'
Spam,'Science fair 2016 @ Hopewell, New Jersey https://t.co/8sEHwGhu1q'
Spam,'#?????_??????? ##apple #art ????? ?????? ??? @ Apple Store, Georgetown https://t.co/KA8HjnLtUU'
Spam,'I\'m at International Tennis Hall of Fame Museum in Newport, RI https://t.co/vVZcFzQInK'
NonSpam,'Last night, #UCWRFC took home two team awards from the Club Sports Banquet: People\'s Choice and… https://t.co/OLoMmPIN9L'
Spam,'Way to go jesscopeland ! #beachcheerathletics #season3 #makingwaves?? #torontocheerleading… https://t.co/S4xQaeakgH'
Spam,'Billings Clinic #Nursing #Job: CNA, Aspen Meadows (#Billings, MT) https://t.co/gfmHahLDjE #rn #rnjobs #MadeWithLove https://t.co/3NNOPKqZ8T'
NonSpam,'Nothing like some records first thing in the morning. Happy #recordstoreday everyone! #rsd16 @… https://t.co/ZaYY4EMif8'
Spam,'I\'m at Durrer\'s in Guelph https://t.co/ZVHvaus4Pj'
Spam,'Supplemental Health Care: L&amp;D RN needed ASAP (#Covington, GA) https://t.co/pVTqcV1vHN #Healthcare #Job #Jobs https://t.co/SHCvgxzk50'
Spam,'Interested in a #Sales #job near #Stamford, CT? This could be a great fit: https://t.co/6P6igb6pdU #Hiring #CareerArc'
Spam,'early bird gets the... ????#newyorkiloveyou #notcoachella @ John F.… https://t.co/quUrh9VHBW'
Spam,'The first time I staffed out here at camp, 6 years ago, I was hired as the archery instructor.… https://t.co/baj4mnoZy7'
Spam,'Want to work in #Limerick, PA? View our latest opening: https://t.co/zUw2KkRKkb #Sales #Job #Jobs #Hiring #CareerArc'
Spam,'Chico\'s #Retail #Job: Sales Lead (#Strongsville, OH) https://t.co/1UyqTMdXad #Jobs #Hiring'
Spam,'SONIC Drive-In: Carhop/Skating Carhop (Server) (#SanAntonio, TX) https://t.co/sEMoGkAVZl #Hospitality #Job #Jobs #Hiring'
Spam,'Yes! #goodmorning ?? great meeting ahead of me today...Stay tuned! As always #realhousemusic 24/7… https://t.co/6wtfgYevzo'
Spam,'Felicidades!! Ya solo te falta un mesesito y ya corazón. Gracias por… https://t.co/mf9ixBwfAm'
Spam,'#lbctractchallenge Day 4 Leave a Tract at a RedBox... @ Lighthouse… https://t.co/Qr82lCKAUP'
Spam,'Can you recommend anyone for this #job? Hair Stylist - https://t.co/jcAAC0eljT #Albemarle, NC #Cosmetology #Hiring #CareerArc'
Spam,'Waiting on four new tires. Oh boy. (@ Starbucks in Greer, SC) https://t.co/5vSnAAhAL1'
Spam,'Llegue tarde jejejeje (@ Universidad Del Valle De México - @uvmmexico in Miguel Hidalgo, DF) https://t.co/sn3AMfnCqb'
Spam,'Ready for a fabulous day @keeneland today! It is #Toyota \'s big day! While you are here, pick up… https://t.co/DIlfEVDOLh'
Spam,'I\'m at Aeropuerto Internacional de Monterrey (MTY) - @aeropuertodemty in Apodaca, NL https://t.co/hoxuTNjL2f'
Spam,'15 Leadership today! Pumped to take my students to Truly Living Well… https://t.co/Gg06ZVzLXV'
NonSpam,'My view for the morning #BYPTV2K16 #turkeyhunting #thunderchickens #turkeyhunting @ Whitewater… https://t.co/1uHmBWmJxt'
Spam,'??NEW LISTING COMING SOON!?? 4/2 off Kernan. Great neighborhood! Contact me for more details. Jon… https://t.co/3uj6FREIFo'
Spam,'Can you recommend anyone for this #job? Physician (Hospitalist) - https://t.co/VGNpPyas2R #Richmond, VA #Physician https://t.co/V2kry2SwE4'
Spam,'[em]broidered tassel top paired with chambray wide leg culottes. #ootd #lotd #fashion #style… https://t.co/JlsxFcm2Fq'
Spam,'#Atlanta, GA #Healthcare #Job: Patient Care Tech II- Nights at Northside Hospital https://t.co/kmk3Op4Orx #Jobs #Hiring #CareerArc'
Spam,'Want to work at The Vitamin Shoppe? We\'re #hiring in #Gambrills, MD! Click for details: https://t.co/HP5RFnyrYZ #Job #Jobs #CareerArc'
Spam,'@ El Paso https://t.co/GiIrxABayk'
Spam,'Después de un tiempo se que volverás a confiar en mi @ Hollywood https://t.co/5Ol9dcbmyS'
Spam,'Join the Tyco team! See our latest #SkilledTrade #job opening here: https://t.co/43726NfL1C #Horsham, PA #Hiring'
Spam,'#BusinessMgmt #Job in #Columbia, MD: Net Web Developer iVideo at AT&amp;T https://t.co/Wzdu88pxtO #Jobs #Hiring #CareerArc'
Spam,'VCU Health System #BusinessMgmt #Job: Perform Improve Coor (#Richmond, VA) https://t.co/g23yK4hATH #Jobs #Hiring #CareerArc'
NonSpam,'Spring comes to nypl @ NYPL The New York Public Library https://t.co/n2rRXLLJfX'
Spam,'So I Uhhh Wanna go back nd see the movie ???? @ Brooklyn Bridge https://t.co/iMSvDtf85T'
Spam,'Little League Opening Day (@ Short Beach in Stratford, CT) https://t.co/Wq2QFscKkT'
NonSpam,'WHAT BETTER WAY TO START YOUR SATURDAY THEN WITH BRUNCH AT ROCCO RESTAURANT AND BAR. SERVING… https://t.co/CrnQ76YY9P'
Spam,'I jump so high I can touch the stars ?????? \n\n#jhlw #paris #france #london #italy #dubai… https://t.co/ukdoTFMz1n'
Spam,'Dropping off woot (@ Little Free Library on Highland Ct in Birmingham, AL) https://t.co/5niurRJU1f https://t.co/xLzk6hiW9A'
Spam,'Erin is set up today at Longbranch Park ready for the Autism Walk today! She has the beautiful… https://t.co/gtUr6Ii4X2'
NonSpam,'Incident on #I678 NB from Exit 4 -  Liberty Avenue to Exit 8 - Main Street https://t.co/L4dUe9v6eb'
NonSpam,'Cleared: Incident on #I90 WB from Exit 6; US 9 to Exit 5A; Corporate Woods Boulevard'
NonSpam,'Cleared: Incident on #I90 WB from Exit 6; US 9 to Exit 5A; Corporate Woods Boulevard'
Spam,'Starting our day at the Taj Mahal of high school tennis facilities @ Heritage Hall OKC https://t.co/HrxEURc0Vk'
Spam,'150 person captive audience in an hour and fifteen minutes. *gulp*\n\n#kwcanoe @ Princess Cinemas https://t.co/vwSn3df25p'
Spam,'Menteee Thanks Youngin!! #BIRTHDAYWEEKEND ???? #DreamsAreReal \n\n#Repost @saveysofly with… https://t.co/PSMqu5g0FX'
Spam,'Just posted a photo @ William Beaumont hospital royal oak https://t.co/AoyuxeRsIS'
Spam,'Triple C Smoked Amber now available on tap. https://t.co/9mXds2YBaX @triplecbrew #BeerMenus'
NonSpam,'Perfect morning for an 8k! #TMinus3Weeks #TeamDubs #mandtforever @… https://t.co/VugX3HMDfJ'
Spam,'Waking up early on Saturday mornings actually isn\'t so bad.  ?? @ Alexandria, Virginia https://t.co/mNsZeXIG2n'
Spam,'#Coffee time (@ Konditori in Brooklyn, NY) https://t.co/jX990c9Kdj https://t.co/Bl4elj2klV'
Spam,'?????? https://t.co/Pwil7ExQpk'
Spam,'See ya. ???? #hollywoodstudios #herewego @ Orlando Fl - Walt Disney World https://t.co/MTaACxQSjU'
Spam,'I\'m at @Publix in Lithonia, GA https://t.co/Kck1Uzkuvl'
Spam,'Lol. Me and you no be same. Life of deceit lo\'n live. \"@vanboyosky: That\'s it. We are not Sorry. https://t.co/tZZ6Gv3hEJ\"'
Spam,'I\'m at Sky House - Dallas in Dallas, TX https://t.co/jbRJenJacC'
Spam,'Tractor Supply Company #Retail #Job: Store Team Member (#Greenwich, NY) https://t.co/HqOKVcNQq8 #Jobs #Hiring #CareerArc'
Spam,'Retail Store Positions - CVS Health: (#Athens, GA) https://t.co/8LYVPDm8Bx #Retail #Job #Jobs #Hiring #CareerArc'
Spam,'See our latest #Dover, PA #job and click to apply: HHA / CNA - Dover, PA - https://t.co/QovqYkk43b #Hiring'
Spam,'???????? @ Rockville, Maryland https://t.co/Fzsh0UsV2l'
Spam,'Account Support Analyst - Fulfillment - LexisNexis Risk: (#Alpharetta, GA) https://t.co/C22JUaZ7IT #CustomerService #Job #Jobs #Hiring'
Spam,'We\'re #hiring! Click to apply: Turkish Interpreters - https://t.co/i9FE7vhX7F #Job #interpreter #bilingual #Atlanta, GA #Jobs'
Spam,'I\'m at Bosque de Tlalpan in Tlalpan, Distrito Federal https://t.co/3bGy6iwkJd'
Spam,'Not a bad price for a NYC breakfast #bargin #nyc #coffeislife @ 34th Street – Herald Square https://t.co/N01YPwEvk3'
Spam,'Incident on #I87NYSThruway NB at 0.33 after Tappan Zee Bridge Toll Barrier https://t.co/sXWa3bWLKe'
Spam,'i have tonsillitis but at least i\'m covered in cute kittens. @ The Little Clinic https://t.co/vGv8tyrrmo'
NonSpam,'Spring has truly sprung @bklynbotanic. The tulips are coming on strong and the place smells… https://t.co/kyaq4Spvf2'
Spam,'Try https://t.co/owPNK24lqa Caesar Salad, Grilled Chicken or Grillled Shrimp #Grilled #menu'
Spam,'We\'re #hiring! Read about our latest #job opening here: Maintenance Technician - Tire... - https://t.co/lBJXYIhShX https://t.co/lYMCbD57D8'
Spam,'Myself with the hardcore wrestling legend Terry Funk. @ East… https://t.co/7vSaWKyval'
Spam,'@drspikecook introducing @ideaguy42 to keynote #baconbytes @ RM… https://t.co/L935s8etMi'
NonSpam,'Happy 50th Anniversary, Mom &amp; Dad!!! @ Vernon, Connecticut https://t.co/veYZJn381K'
Spam,'We\'re coming for you #DuluthMN and #SuperiorWI. See you today at the #GitchiGumiBrewFest stop by… https://t.co/E5CzdHdF0e'
Spam,'I might not make it... @ Orangeville Fairgrounds https://t.co/2qj9JEHiuF'
Spam,'#Clerical #Job alert: VOLUNTARY SERVICE SPECIALIST | Department of Veterans Affairs | #Baltimore, MD https://t.co/6ihrD8CxsL #Veterans'
Spam,'Out of the water.\n\n#achadosdasemana #old #desafioprimeira #fotografeumaideia #vsco #vscocam… https://t.co/BsGnbykzb1'
Spam,'Want to work in #Raleigh, NC? View our latest opening: https://t.co/47Moy3XIOq #Hospitality #parttime #Veterans #Job #Jobs #Hiring'
Spam,'Can you recommend anyone for this #Hospitality #job? https://t.co/BfxQqibVEY #Atlanta, GA #Veterans #Hiring #CareerArc'
Spam,'This #Sales #job might be a great fit for you: Assistant Route Service Sales Representative - Uniform - CMV - https://t.co/P2dq0mPtwc'
Spam,'#WhirlPool #Niagara #Fishing #UglyStick #FishWhistle @ Whirlpool Rapids, Niagara Gorge, ON, Canada https://t.co/tiZUpJWolT'
NonSpam,'Can you recommend anyone for this #job? Certified Nursing Assistant CNA Home Health Aide HHA - https://t.co/3LLubrc9zf #Allentown, PA'
Spam,'.\n???? @ Miami Beach, Florida https://t.co/BOl47xZqRX'
Spam,'Uncle Dave Ramsey event @ Calvary Assembly Orlando https://t.co/kgpzFWiOhf'
Spam,'John Hancock: Systems Designer (#Toronto, ON) https://t.co/3r5nUeRHO9 #IT #insurance #Job #Jobs #Hiring #CareerArc'
Spam,'#CareerArc #Transportation #Job alert: Airport Master Planner | Arup Group | #NewYork, NY https://t.co/s6B0sEXFsL #Jobs #Hiring'
Spam,'Can you recommend anyone for this #Banking #job? https://t.co/8oXdICHP6W #regions #regionsbank #BayMinette, AL #Hiring'
Spam,'#Hospitality #Job in Shift Supervisor (US) at Starbucks https://t.co/SFVsTGsrLy #Veterans #Jobs #Hiring #CareerArc'
Spam,'I\'m at Universidad @LaSalle_mx in Cuauhtémoc, DF https://t.co/nSpqRTJjZP'
NonSpam,'Wind 3.2 km/h SE. Barometer 1032.37 mb, Rising. Temperature -5.7 °C. Rain today 0.0 mm. Humidity 94\%'
Spam,'Back in my hometown for a couple days, met up with some friends for… https://t.co/pIUtfi9ctM'
Spam,'Steel String Brett Mon IPA now available on tap. https://t.co/9mXds2YBaX @steelstringbrew #BeerMenus'
Spam,'My husband told me that I need to stay out of my children\'s stores, lol! #5below #couldntresist… https://t.co/D4POR4HTYL'
Spam,'Andrew meets @aronberg\'s dog Cookie during the fifth annual Walk for Victim\'s Rights. #BabyBurke… https://t.co/xiEhxcPAAP'
Spam,'Women\'s Vintage Woven Leather Open-Toe Huarache Sandal Flat\n\nBy:Ellemenno\n\nMade in Brazil\n\nSz: 8… https://t.co/TSTTLIS4JE'
Spam,'My roommate is pretty damn cute. I\'ve already received more cat headbutts than I can count. @… https://t.co/kUs95fn6Ux'
Spam,'#majesticpartyrental #eventsmiami #fair #peaceinthegardens #miamievents #eventrentalsmiami… https://t.co/I4eYzeoZCG'
Spam,'#recordstoreday2016 (@ Sweet Melissa Records - @sweetmelrecords in Marietta, GA) https://t.co/UPhiVwSFsH'
Spam,'At 6:35 AM, 9 WSW RED ELM [Ziebach Co, SD] TRAINED SPOTTER reports HEAVY RAIN of 1.10 INCH #UNR https://t.co/KaL1X41IUO'
NonSpam,'Good morning to ya [??: gannonthegrey] @ Charlotte, North Carolina https://t.co/hKv2P9nnpl'
Spam,'AT&amp;T: Sales Support Representative Greenwich CT (Greenwich) (#Greenwich, CT) https://t.co/koc4f3fpvH #Retail #Job #Jobs #Hiring #CareerArc'
Spam,'This #Transportation #job might be a great fit for you: PT City Class A Tractor Trailer Driver - https://t.co/CuJETfz8TM #Allentown, PA'
NonSpam,'Love him'
Spam,'Interested in a #Hospitality #job near #StPetersburg, FL? This could be a great fit: https://t.co/YqqRL8TH56 #Hiring #CareerArc'
Spam,'Dollar General Corporation #Retail #Job: STORE MANAGER (IN) https://t.co/NKBcdNpp0b #Veterans #Jobs #Hiring #CareerArc'
Spam,'TD Bank Canada: Customer Service Representative (#Bowmanville, ON) https://t.co/3zpEKv15nz #CustomerService #Job #Jobs #Hiring #CareerArc'
