@relation MyRelation

@attribute twitid numeric
@attribute username string
@attribute tweetcontent string
@attribute createaccount numeric
@attribute followers numeric
@attribute followings numeric
@attribute userfavorite numeric
@attribute listed numeric
@attribute tweetcount numeric
@attribute retweetcount numeric
@attribute hashtagcount numeric
@attribute mentioncount numeric
@attribute urlcount numeric
@attribute charcount numeric
@attribute digitcount numeric
@attribute classify string

@data
30,'Dharma Productions','Lights, camera, acti-wait! Where did the smile go?? #ThrowbackThursday #BKD #BehindTheScenes @aliaa08… https://t.co/NjVec92pOd',2396,2561147,52,369,359,9555,34,3,1,1,127,4,Spam
31,'ABP News','#India will take every possible step to save #KulbhushanJadhav, says @MEAIndia \nhttps://t.co/JQJlKYWHWM',2929,6533580,133,0,3072,149154,7,2,1,1,103,0,Spam
32,'RJ ALOK','News : @sachin_rt \'s upcoming docu film Sachin: A Billion Dreams made Tax free in Kerala and Chhattisgarh. #RjAlok',2761,300276,432,7957,88,25746,2,1,1,0,114,0,Spam
33,'Bollywood Hungama','OMG! @arjunk26 KISSED @RanveerOfficial, Fan of @BeingSalmanKhan - Autocomplete Interview #TalkingFilms https://t.co/kwJpde7jFq',2919,1091800,584,877,1036,38454,11,1,3,0,126,3,Spam
34,'ABP News','.@MEAIndia addresses a press conference on #KulbhushanJadhav case\nWatch: https://t.co/JQJlKZeiOk https://t.co/etWdZF2fYa',2929,6533580,133,0,3072,149154,8,1,1,1,120,1,Spam
35,'SUHEL SETH','Many many congratulations to Arnab Goswami and the team at @republic : great start! https://t.co/mGyWUDcorr',2938,3421183,1022,67,1630,35871,104,0,1,0,107,0,Spam
36,'SUHEL SETH','RT @arunjaitley: Well done! #HarishSalve - you have done India Proud.',2938,3421183,1022,67,1630,35871,561,1,1,0,69,0,Spam
37,'RJ ALOK','Good news :\nICJ put halt on Kulbhushan Jadhav execution and warned PAK on irreparable prejudice. ??  #RjAlok https://t.co/bHE44MvM1T',2761,300276,432,7957,88,25746,2,1,0,0,134,3,NonSpam
38,'STAR PLUS','Has Nandni\'s hatred for Chandra once again overpowered her love? Watch their story on #ChandraNandni.… https://t.co/6Pb8QUY0Y3',2725,1817077,632,1549,538,79924,14,1,0,1,126,4,NonSpam
39,'Bollywood Hungama','MUST WATCH : @sonamakapoor on @deepikapadukone\'s debut in #Cannes2017 https://t.co/UqeND0yrOx',2919,1091800,584,877,1036,38454,4,1,2,0,93,5,Spam
40,'ShivrajSingh Chouhan','Congratulate Smt. @SushmaSwaraj, @MEAIndia & #HarishSalve for accomplishing a favourable verdict in #KulbhushanJadhav case at the ICJ.',1532,2438688,262,1144,1294,14318,45,2,2,0,134,0,Spam
41,'Bollywood Hungama','\"God gave me opportunity to play cricket, I am not God\" @sachin_rt \n#TalkingFilms https://t.co/2u87Lx6ZFu',2919,1091800,584,877,1036,38454,16,1,1,0,105,4,Spam
42,'ShivrajSingh Chouhan','Extremely confident that under the able leadership of PM @narendramodi India will use all legal means available to save #KulbhushanJadhav.',1532,2438688,262,1144,1294,14318,51,1,1,0,138,0,NonSpam
43,'Vasundhara Raje','Under strong leadership, emerges a #StrongIndia. @narendramodi #KulbhushanJadhav #SatyamevJayate',1518,1174386,103,1192,948,6674,42,3,1,0,96,0,Spam
44,'Vasundhara Raje','Welcome the verdict by ICJ to stay execution of #KulbhushanJadhav. Laud efforts of @SushmaSwaraj ji & MEA in getting justice to his family.',1518,1174386,103,1192,948,6674,42,1,1,0,139,0,Spam
45,'Press Trust of India','India retain their No.1 position in the @ICC Test Team Rankings following annual update. @BCCI.',2298,1456399,1,0,2684,48667,32,0,2,0,95,1,Spam
46,'ShivrajSingh Chouhan','Satyamev Jayate. Very pleased with #KulbhushanVerdict, as Pakistan stands exposed in front of the world for defying international rules.',1532,2438688,262,1144,1294,14318,57,1,0,0,136,0,Spam
47,'Manohar Lal','Happy that #KulbhushanJadhav death sentence has been stayed by #ICJ. ProActive approach by @narendramodi ji & @SushmaSwaraj ji worked for us',2200,601742,248,0,454,7783,44,2,2,0,140,0,NonSpam
48,'Zee Music Company','Step Up & Dance to the tunes of #Jaanu from @BHTtheFilm https://t.co/buXTDyxobj @JuggyD @raftaarmusic @ShivranjaniS @MusicByRR @shrutihaasan',1165,672976,419,2390,67,11741,2,1,6,1,140,0,NonSpam
49,'Shiv Aroor','Salve: \'Went well for us.\'\nSushma: \'Grateful to Mr Salve.\'\nRajnath: \'Satisfied & relieved.\'\nSwamy: ATTACK PAKISTAN, DIVIDE THEM INTO FOUR!!!',2573,516325,317,154,973,59042,165,0,0,0,140,0,Spam
50,'Vikram Chandra','Reality Check at 9:30 on what happens next after the big win at the #ICJ https://t.co/ex3698SwBH',3092,2510299,157,76,2894,15166,1,1,0,0,96,7,Spam
51,'ABP News','India is trying to defend a person whose actions led to killing of innocent Pakistanis: Pak Foreign Ministry on #KulbhushanJadhav (ANI)',2929,6533580,133,0,3072,149154,5,1,0,0,135,0,Spam
52,TSeries,'RT @filtercopy: .@irrfank is LIT AF! Who\'d you gift a LITbit to?\n//@TSeries @HindiMediumfilm https://t.co/6WQcpN9JAL',2218,834890,229,879,328,15739,7,0,4,0,116,2,Spam
53,'Bollywood Hungama','“It will be a Privilege” : @humasqureshi on working with @superstarrajini \nhttps://t.co/Rxw5QSFuQj https://t.co/6GnctmwkPL',2919,1091800,584,877,1036,38454,7,0,2,1,122,2,Spam
54,'Bollywood Hungama','The Beautiful @humasqureshi on #Baahubali2 Success: “Saying it’s getting good response is an understatement”… https://t.co/qmI2HyBC7A',2919,1091800,584,877,1036,38454,7,1,1,1,133,3,NonSpam
55,'Piyush Goyal','Offered my respects & tribute to Shri Anil Madhav Dave. In him, we have lost a dedicated leader who served the nati… https://t.co/zGD74BwxaI',1506,1177212,460,2427,1342,13438,109,0,0,1,140,2,Spam
56,'Bollywood Hungama','The Gorgeous @aliaa08 coins this new term for #Baahubali2’s PHENOMENAL Success\nhttps://t.co/69l4c19Bv4 https://t.co/yaOjwsPprz',2919,1091800,584,877,1036,38454,12,1,1,1,126,9,Spam
57,'Sony Music India','#Radio leaving a mark all around the world. https://t.co/xQP025OLDU\n\n@BeingSalmanKhan @SKFilmsOfficial… https://t.co/LgtCqMIOMb',2095,468041,864,3115,197,20089,90,1,2,2,127,3,Spam
58,'Press Trust of India','Militants hurl a grenade at a police station in old #Srinagar city, policeman injured.',2298,1456399,1,0,2684,48667,3,1,0,0,86,0,Spam
59,'Press Trust of India','#Pakistan will present solid evidence against #KulbhushanJadhav in the International Court: Pakistan Foreign Office spokesperson. 2/2',2298,1456399,1,0,2684,48667,16,2,0,0,133,2,Spam
60,'Press Trust of India','#India has been \'trying to hide its real face\' by taking the case of #KulbhushanJadhav to #ICJ: #Pakistan Foreign Office spokesperson. 1/2',2298,1456399,1,0,2684,48667,14,4,0,0,138,2,Spam
61,'Bollywood Hungama','.@baywatchmovie \'s Red Band R-rated trailer is HOT\nhttps://t.co/sOzOW3PgAx https://t.co/orOKznNOsw',2919,1091800,584,877,1036,38454,4,0,1,1,98,1,Spam
62,'Bollywood Hungama','Glass Breaking Challenge with #Dobaara Team – @humasqureshi & @Saqibsaleem \nhttps://t.co/6sUuATZ6HI https://t.co/TlTx2EzPbX',2919,1091800,584,877,1036,38454,9,1,2,1,123,3,Spam
63,'Press Trust of India','#ED takes possession of Rs 100 crore farm house of #VijayMallya in Maharashtra\'s Alibag in connection with its money laundering probe case.',2298,1456399,1,0,2684,48667,48,2,0,0,139,3,Spam
64,'Narendra Modi','This document is a manifestation of simplicity & selflessness in public life. It is an illustration of Nishkama Kar… https://t.co/w2E8evufCZ',3049,29977308,1769,0,20701,15151,2400,0,0,1,140,2,Spam
65,'PMO India','PM @narendramodi paid his last respects to late Shri Anil Madhav Dave. https://t.co/pQgVoNTOoz',1942,17988136,387,0,7070,15115,349,0,1,0,94,0,Spam
66,'Narendra Modi','RT @SushmaSwaraj: I compliment my team of officers in the MEA for their tireless efforts and hard work.',3049,29977308,1769,0,20701,15151,2700,0,1,0,103,0,Spam
67,'Manohar Lal','My appeal to those students who haven\'t been able to get their expected results - please do not lose hope. I wish them best for their future',2200,601742,248,0,454,7783,13,0,0,0,140,0,NonSpam
68,'Abhijit Majumder','Good to see India go to such lengths for one citizen. Pakistan refused to even take back bodies during Kargil. #KulbhushanJadhav',2867,321844,498,414,970,39030,698,1,0,0,128,0,NonSpam
69,'Manohar Lal','I congratulate all the students who have passed Haryana\'s HBSE Class 12th exams today. Wishing them the very best for their future.',2200,601742,248,0,454,7783,26,0,0,0,131,2,Spam
70,'Vikram Chandra','RT @BhawalMengal: The Chinese language(Mandarin)is now compulsory in a school in Islamabad.\nAfter 70yrs Balochi is still not taught in scho…',3092,2510299,157,76,2894,15166,555,0,1,0,140,2,Spam
71,'Shiv Aroor','Indian restaurant in London could shut after fake news story claimed it serves human meat. https://t.co/jwKU0aj6ux https://t.co/XZL30vZD0d',2573,516325,317,154,973,59042,17,0,0,1,138,5,Spam
72,'INC India','Modi ji thrives on empty rhetoric & corruption thrives under people like PM Modi. #BJPReddy35000CroreScam https://t.co/Tc3zKcyfS9',1562,1898435,2302,707,988,39929,144,1,0,0,129,7,NonSpam
73,'Vikram Chandra','Meanwhile this debate in Pakistan. Will the country end up as a Chinese colony? https://t.co/gDegn0mpLA',3092,2510299,157,76,2894,15166,26,0,0,1,103,1,Spam
74,'Press Trust of India','Prima facie, court observes it cannot conclude that the Article 36 of #ViennaConvention does not apply in this case, says #ICJ Judge.',2298,1456399,1,0,2684,48667,20,2,0,0,133,2,Spam
75,'Press Trust of India','The #ICJ order on #KulbhushanJadhav has come as a great relief to his family & the people of India: External Affairs Minister @SushmaSwaraj.',2298,1456399,1,0,2684,48667,33,2,1,0,140,0,Spam
76,'Shiv Aroor','Posting for no real reason. https://t.co/z7o60P8yK9',2573,516325,317,154,973,59042,55,0,0,0,51,5,Spam
77,'Rajdeep Sardesai','Just a word of caution: this is stay on procedural/jurisdiction grounds. We must celebrate when we get Jadhav free on merit #IndiaForJadhav',2866,6097211,492,309,8886,47520,135,1,0,0,139,0,Spam
78,TSeries,'The best wedding song of the season has arrived, #FranklyTuSonaNachdi- https://t.co/wA43Hswi3F\n\n#GuestIinLondon https://t.co/pNj5jZUiId',2218,834890,229,879,328,15739,21,2,0,1,135,4,Spam
79,'Press Trust of India','PM speaks to EAM @SushmaSwaraj to thank her; appreciates efforts of advocate #HarishSalve who represented India in the Jadhav case.',2298,1456399,1,0,2684,48667,115,1,1,0,131,0,Spam
80,'Rajdeep Sardesai','Let\'s give a huge clap for @SushmaSwaraj and Harish Salve and the legal/diplomatic team. jai ho! #IndiaForJadhav',2866,6097211,492,309,8886,47520,242,1,1,0,112,0,Spam
81,'Great Minds Quotes','\"Believe and act as if it were impossible to fail.\" - Charles F. Kettering',3000,3242030,187557,10,24593,31991,166,0,0,0,74,0,Spam
82,'Zee Music Company','Feel the emotion of love in every word in #LostWithoutYou from #HalfGirlfriend\nhttps://t.co/C54gVTqEsT',1165,672976,419,2390,67,11741,8,2,0,1,102,2,NonSpam
83,'ABP News','PM @NarendraModi expresses satisfaction at the judgement of International Court of Justice in #KulbhushanJadhav case. (PTI)',2929,6533580,133,0,3072,149154,20,1,1,0,123,0,Spam
84,'Press Trust of India','PM @NarendraModi expresses satisfaction at the judgement of International Court of Justice in #KulbhushanJadhav case.',2298,1456399,1,0,2684,48667,44,1,1,0,117,0,Spam
85,'Vikram Chandra','Kudos to Harish Salve and to everyone else who fought so effectively for #KulbhushanJadhav. #ICJ #IndiaWins https://t.co/v1intVujZ3',3092,2510299,157,76,2894,15166,25,3,0,1,131,2,Spam
86,'ABP News','#KulbhushanJadhav\'s friends in #Mumbai hail #ICJverdict https://t.co/vgyqHiKicu',2929,6533580,133,0,3072,149154,32,3,0,0,79,0,Spam
87,BJP,'RT @SushmaSwaraj: I assure the nation that under the leadership of Prime Minister Modi we will leave no stone unturned to save #KulbhushanJ…',2396,5023375,2,0,1713,161046,4983,0,1,0,140,0,Spam
88,BJP,'RT @SushmaSwaraj: We are grateful to Mr.Harish Salve for presenting India\'s case so effectively before ICJ.',2396,5023375,2,0,1713,161046,5425,0,1,0,107,0,Spam
89,'Smita Prakash','Wagah pay vapasi. Come on Pakistan, do it. #KulbhusanJadhav',2883,341045,204,646,1265,70625,41,1,0,0,59,0,Spam
90,'SUHEL SETH','Well done HARISH Salve and Team India. Justice prevailed. As it must.',2938,3421183,1022,67,1630,35871,318,0,0,0,69,0,Spam
91,'Western Railway','Bandra station leaps ahead in cleanliness. https://t.co/ljlMjmfi7u @RailMinIndia @sureshpprabhu https://t.co/C6PPFhJIHI',741,56371,3,23,79,5830,4,0,2,1,119,2,Spam
92,'ABP News','We are grateful to Mr.Harish Salve for presenting India\'s case so effectively before ICJ: EAM @SushmaSwaraj',2929,6533580,133,0,3072,149154,42,0,1,0,107,0,Spam
93,BJP,'Watch the statement made by EAM @SushmaSwaraj in the Parliament on #KulbhushanJadhav. The #ICJ has ruled to stay hi… https://t.co/jRUEiO5R4B',2396,5023375,2,0,1713,161046,677,2,1,1,140,2,Spam
94,'Rahul Kanwal','Loud applause in @IndiaToday Newsroom as the ICJ stays the death sentence to Kulbhushan Jadhav. Major international embarrassment for Pak.',2798,3190253,2734,1735,2262,27520,165,0,1,0,138,0,Spam
95,BJP,'RT @SushmaSwaraj: The ICJ order has come as a great relief to the familly of Kulbhushan Jadhav and people of India.',2396,5023375,2,0,1713,161046,5142,0,1,0,115,0,Spam
96,'ABP News','The ICJ order has come as a great relief to the familly of Kulbhushan Jadhav and people of India: EAM @SushmaSwaraj',2929,6533580,133,0,3072,149154,16,0,1,0,115,0,Spam
97,'INC India','Dr Manmohan Singh, Shri Rahul Gandhi & Shri Anand Sharma met HE Mr. Mahmoud Abbas, President of the State of Palest… https://t.co/ROHhnTKYQH',1562,1898435,2302,707,988,39929,214,0,0,1,140,0,Spam
98,'Yash Raj Films','A tune that won’t get out of your head! #HumHainBankChor – Full Song Audio OUT NOW. @Y_films https://t.co/Aoxoju960B',2850,1876881,92,30,950,15542,7,1,1,1,116,3,NonSpam
99,'Press Trust of India','150 day period for clemency given by #Pakistan which ends in August suggests execution can happen immediately thereafter: #ICJ.',2298,1456399,1,0,2684,48667,26,2,0,0,127,3,Spam
100,'Press Trust of India','The 150 day period for clemency given by #Pakistan which ends in August suggests that the execution can happen immediately thereafter: #ICJ.',2298,1456399,1,0,2684,48667,43,2,0,0,140,3,Spam
101,'Bollywood Hungama','VIDEO : @chintskap at #ReemaLagooJi \'s Funeral https://t.co/XhLlAtUOGr',2919,1091800,584,877,1036,38454,7,1,1,0,70,0,Spam
102,'Abhijit Majumder','ICJ judge Ronny Abraham also agrees on India\'s demand for consular access and other rights to #KulbhushanJadhav',2867,321844,498,414,970,39030,21,1,0,0,111,0,Spam
103,'Press Trust of India','The decision to stay #KulbhushanJadhav\'s execution pending #ICJ hearing is unanimous: ICJ President.',2298,1456399,1,0,2684,48667,66,2,0,0,100,0,Spam
104,'Press Trust of India','#ICJ stays Indian national #KulbhushanJadhav\'s death sentence.',2298,1456399,1,0,2684,48667,90,2,0,0,62,0,Spam
105,'Shekhar Gupta','Please read my consistent view on this. Pure bilateralism can\'t work with Pak. Peace will need big-power endorsement https://t.co/Re0ywj0w4v',1065,1447093,1097,8727,1166,9557,26,0,0,1,140,3,Spam
106,'Shiv Aroor','Amazing part: 11 judges at the ICJ were unanimous. If the Pak State was capable of shame, it would be the overwhelming sentiment today.',2573,516325,317,154,973,59042,240,0,0,0,135,2,Spam
107,'ABP News','Pakistan should not execute Jadhav pending final proceedings, says ICJ.\nhttps://t.co/0RYw4i6ens',2929,6533580,133,0,3072,149154,14,0,0,1,95,3,Spam
108,'Shekhar Gupta','Hope Pakistan grabs the facesaver #ICJ has gifted it on #KulbhushanYadav Nawaz Sharif Govt will is now on test, as is its equation with Army',1065,1447093,1097,8727,1166,9557,25,2,0,0,140,0,Spam
109,TSeries,'Presenting #JaneKyunBewajah from #Kutumb sung by the brilliant #ShahidMallya, Music #AryanJaiin -… https://t.co/y2l2M36QxI',2218,834890,229,879,328,15739,6,4,0,1,122,4,NonSpam
110,'ABP News','Live Updates: ICJ stays Indian national #KulbhushanJadhav\'s death sentence\nhttps://t.co/0RYw4i6ens',2929,6533580,133,0,3072,149154,9,1,0,1,98,3,Spam
111,'Rajdeep Sardesai','So the buzz was right. Sometimes, our sources are right. #IndiaForJadhav',2866,6097211,492,309,8886,47520,12,1,0,0,72,0,Spam
112,'ABP News','ICJ announces verdict in #KulbhushanJadhav case, rules in favour of India. \'Pakistan cannot execute the Indian citizen before final verdict\'',2929,6533580,133,0,3072,149154,33,1,0,0,140,0,Spam
113,'Vikram Chandra','Excellent news from the ICJ. Pakistan has been clearly ordered NOT to hang #KulbhushanJadhav. #IndiaWins.',3092,2510299,157,76,2894,15166,47,2,0,0,105,0,NonSpam
114,'Abhijit Majumder','India wins. #ICJ scraps hanging of Jadhav till its final decision. Slap for Pakistan echoes worldwide. #ViennaConvention #KulbhushanVerdict',2867,321844,498,414,970,39030,45,3,0,0,139,0,Spam
115,'Shekhar Gupta','Fine success #ICJ reprieve for #KulbhushanYadav Shows international laws work. Lesson also to warriors spoiling to dump Indus Waters Treaty',1065,1447093,1097,8727,1166,9557,67,2,0,0,139,0,Spam
116,'Smita Prakash','RT @ANI_news: Appropriate to say that Pak shall take all measures at its disposal to ensure #KulbhushanJadhav is not executed pending final…',2883,341045,204,646,1265,70625,103,1,1,0,140,0,Spam
117,'Rajdeep Sardesai','Breaking: Jai HO!! #IndiaForJadhav Jadhav sentence stays suspended',2866,6097211,492,309,8886,47520,138,1,0,0,66,0,Spam
118,'Shiv Aroor','Historic slap for Pakistan\'s \'justice\' system. International Court of Justice stays execution of Kulbhushan Jadhav until final order.',2573,516325,317,154,973,59042,206,0,0,0,133,0,Spam
119,'ABP News','RT @AshishSinghLIVE: BIG BRKING ICJ Concludes- Appropriate to order Pak to ensure #KulbhushanJadhav is not executed till final judgement @a…',2929,6533580,133,0,3072,149154,13,1,1,0,140,0,Spam
120,'Vikram Chandra','ICJ: Pakistan must ensure there is no execution of #KulbhushanJadhav until a final decision is announced.',3092,2510299,157,76,2894,15166,16,1,0,0,105,0,Spam
121,'Rajdeep Sardesai','Breaking:Pakistan shall take all measures to ensure Jadhav is not executed pending ICJ hearings: they have a binding effect #IndiaForJadhav',2866,6097211,492,309,8886,47520,72,1,0,0,139,0,Spam
122,'Rahul Kanwal','Big whack across the face of the Pakistan army. ICJ knocks the winds out of sham Pak verdict. Jai Ho. Well done @PMOIndia Govt. Shabash.',2798,3190253,2734,1735,2262,27520,331,0,1,0,136,0,Spam
123,'Rajdeep Sardesai','Breaking: urgent risk to Jadhav\'s life that could lead to irreparable prejudice to India\'s case;provisional measures needed #IndiaForJadhav',2866,6097211,492,309,8886,47520,27,1,0,0,139,0,Spam
124,'Vikram Chandra','#Breaking ICJ stays the execution of #KulbhushanJadhav. Big win for India at the World Court.',3092,2510299,157,76,2894,15166,28,2,0,0,93,0,Spam
125,'ABP News','RT @AshishSinghLIVE: Pak has given no assurance before the court gives final order. Court accepts there is an urgency #KulbhushanJadhav @ab…',2929,6533580,133,0,3072,149154,8,1,1,0,140,0,Spam
126,'Smriti Z Irani','RT @grin_news: First of a series on GI (Geographical Indications) crafts in #India #IndiaUnique Agates of Cambay https://t.co/582bspavSa @s…',2599,6343403,306,21,2441,14995,14,2,1,1,140,3,Spam
127,'Smriti Z Irani','RT @NITIAayog: Share your empowerment journey and get recognised by NITI Aayog, @UNinIndia & @mygovindia. Send your story here: https://t.c…',2599,6343403,306,21,2441,14995,39,0,3,0,140,0,NonSpam
128,'Smriti Z Irani','RT @AkashvaniAIR: #SevaKeTeenSaal \nDon\'t miss the interview with Smt @smritiirani , Union Minister, @TexMinIndia \nTonight @ 8 pm \non Indrap…',2599,6343403,306,21,2441,14995,29,1,3,0,140,1,Spam
129,'ABP News','RT @AshishSinghLIVE: Rights raised by India are Plausible. ICJ on #KulbhushanJadhav @abpnewstv',2929,6533580,133,0,3072,149154,5,1,2,0,94,0,Spam
130,'Rajdeep Sardesai','Breaking:  consular access under Vienna Convention are recognised under Article 36; right invoked by India are plausible #IndiaForJadhav',2866,6097211,492,309,8886,47520,54,1,0,0,136,2,Spam
131,'Vikram Chandra','ICJ says it does have jurisdiction on the matter of consular access to #KulbhushanJadhav',3092,2510299,157,76,2894,15166,14,1,0,0,88,0,Spam
132,'ABP News','RT @AshishSinghLIVE: 2008 Bilateral Agreement argument does not bar India from Consular Access of #KulbhushanJadhav',2929,6533580,133,0,3072,149154,9,1,1,0,115,4,NonSpam
133,'INC India','What invisible hand is guiding the CBI away from investigating Janardhana Reddy? #BJPReddy35000CroreScam https://t.co/9L9O5Vj3XX',1562,1898435,2302,707,988,39929,319,1,0,0,128,9,NonSpam
134,'Press Trust of India','#Sensex retreats from record, ends 223.98 pts lower at 30,434.79; #Nifty falls 96.30 pts to 9,429.45.',2298,1456399,1,0,2684,48667,3,2,0,0,101,22,NonSpam
135,'Rajdeep Sardesai','Breaking: 2008 Indo-Pak agreement doesn\'t prevent the ICJ from exercising jurisdiction at this stage. #IndiaForJadhav',2866,6097211,492,309,8886,47520,36,1,0,0,117,4,NonSpam
136,'ABP News','India should have been given consular access as per Vienna convention: ICJ Judge Ronny Abraham #KulbhushanJadhav https://t.co/8oJw3VwwcE',2929,6533580,133,0,3072,149154,28,1,0,0,136,2,Spam
137,'Press Trust of India','The circumstances of #KulbhushanJadhav\'s arrest remains disputed, says #ICJ judge.',2298,1456399,1,0,2684,48667,73,2,0,0,82,0,Spam
