@relation MyTestRelation

@attribute spamclass {Spam,NonSpam}
@attribute tweetcontent String

@data
Spam,'Better to be a lone lion than a herd of sheep.If an MP wants Arundhati Roy to be tied to a jeep, then I find it app… https://t.co/AvGyzcSTYp'
NonSpam,'Hmm.... Wall.... I like this wall. https://t.co/9lxbnvlryP'
Spam,'.@akshaykumar and @mrsfunnybones went on a double date with friends #GayatriJoshi and #VikasOberoi and had a blast\nhttps://t.co/yhqdD3gCi4'
Spam,'How frighteningly easy it is for people to call for violence on social media: the violence in the mind has now got space in cyberspace!'
Spam,'Connecting and developing rural India : Construction of rural roads reached an all time high of 133 km/day in 2016-… https://t.co/aNOxXL3CCS'
Spam,'Those who want Maj Gogoi to face court martial are talking utter nonsense. He did the right thing: Punjab CM… https://t.co/WSzoswD5Rn'
Spam,'#HTCUPlay review: For an #HTC fan\n@HTC_IN \nhttps://t.co/2XqD86Zzc9 https://t.co/yYwd44qhNW'
Spam,'I ask @JM_Scindia isn\'t it true decisions in Cong are taken across a dining table by one family? He insists I have got it all wrong! #Modi3'
Spam,'Chilling.... https://t.co/d8aFOQk7kQ'
Spam,'My blood was boiling when I read order by Judge ND Wani while releasing mass murderer Bitta Karate. \"Prosecution showed no interest in case\"'
Spam,'Once a sportsman, always a sportsman. Well said...#SachinOnZeeMarathi @sachin_rt'
Spam,'Last week we exposed Naeem Khan. This week we turn our lens on \"mass murderer\" Bitta Karate. He bragged about murder, we let him free!!!'
Spam,'Families of those murdered by Bitta Karate are crying for justice. Will @PMOIndia reinvestigate this shocking case. Who let Karate walk away'
Spam,'Why is #BittaKarate not in jail? Who is he? How many Kashmiri Pandits does he stand accused of killing? Watch… https://t.co/prpNPfqY8M'
Spam,'.@Apurvasrani lashes out at #KanganaRanaut on her “Irresponsible” comments on the writer\nhttps://t.co/XEjIhJd9Py'
Spam,'Anika’s phraseology is one of a kind. Catch more of it on #OberoiSpecial, Tonight at 10pm. \n@surbhichandna https://t.co/qBL4bhEaWm'
Spam,'While releasing Hurriyat Terrorist Bitta Karate, Judge Wani said, \"Prosecution showed total disinterest in arguing case.\" Totally shocking.'
Spam,'On camera Hurriyat \'terrorist\' Bitta Karate said, \"Lost count after killing 20 Kashmiri Pandits.\" Despite this, Bitta Karate is a free man!'
Spam,'Newsroom Exclusive 10 PM on @IndiaToday He bragged about murder, India let him free. Bitta Karate\'s shocking video confession surfaces.'
Spam,'Ex-coal secy intentionally misled former PM Dr Manmohan Singh: Delhi Court https://t.co/ypfR7ooYlO'
Spam,'RT @narendramodi_in: Why we’re more achhe today than three years ago... An interesting read penned by @swapan55 https://t.co/MLQCpxCKUV htt…'
Spam,'The people of India stand solidly behind PM @narendramodi & they appreciate the fact that the Govt. is committed to… https://t.co/7lPkCYOBXw'
Spam,'RT @sabs3112: Whoever is against #IndianArmedForces today, as an Indian citizen we want all of them DEAD, period.\n#IndiaFirstNoCompromise'
NonSpam,'Army confirms that while the Court of Inquiry is still under finalisation, the award to Major Gogoi factors in indicators from the inquiry.'
Spam,'US envoy to Pak #DavidHale meets Army chief Gen #QamarJavedBajwa, underscores the importance #DonaldTrump attaches to conquering extremism.'
NonSpam,'Mr Prime Minister, you may try to rewrite history, but you will never be able to rewrite the Truth https://t.co/xLnHnYCNXb'
Spam,'RT @ZEECorporate: Watch master blaster Sachin Tendulkar on Chala Hawa Yeu Dya Today & Tom. @9:30 PM. #SachinOnZeeMarathi #SachinABillionDre…'
Spam,'@IndiaToday Bitta Karate caught on @IndiaToday cameras demanding Rs 70 crore to fuel unrest in the valley. We dug o… https://t.co/AIvjuBCx1m'
Spam,'RT @AmitShah: Center has sponsored more than 4cr toilets under Swachh Bharat mission but KCR govt has failed to build even a single toilet…'
NonSpam,'Chilling confessions of Farooq Dar @ Bitta karate. Alleged to have killed 20 Kashmiri Pandits. From #NewsTrack archives. @IndiaToday 8.40 pm'
Spam,'RT @AmitShah: During my door to door campaign in Theratpally village, Nalagonda, I visited homes of poor weavers & learnt they don\'t have t…'
Spam,'@capt_amarinder Had I been a young army major I would have done the same. Army can\'t fight terror one hand tied beh… https://t.co/zl3g7G8xdf'
Spam,'The #contest is now over. Aap sab bahut badhiya #Jhootingkar hai. Thank you for participating. #WorldJhootingDay'
Spam,'Maj Leetul Gogoi did the right thing.Glad army chief gave him a COAS commendation.Very happy: @capt_amarinder joins me on #IndiaFirst 830 pm'
NonSpam,'Clear message from the Army: Major Gogoi acted for safety of maximum. And nothing is more paramount. https://t.co/7DJg33vJoC'
NonSpam,'Major Gogoi\'s decision saved a dozen J&K employees, 9 ITBP jawans, a couple of J&K constables and a bus driver from a murderous mob that day'
Spam,'RT @waglenikhil: Media coverage of Jharkhand lynching – Where’s the outrage? Where are the hashtags? https://t.co/54oNealN6S via @altnews_in'
Spam,'#Agriculture Minister @RadhamohanBJP gets charge of Food & Consumer Affairs as @irvpaswan will be abroad for treatment.'
NonSpam,'The exceptional hospitality of the people of Kutch could be seen through the journey from the airport to Kandla Por… https://t.co/N3OdTKpWPe'
Spam,'Kandla Port has emerged as one of Asia’s best ports. The development of the Chabahar Port will further spur the gro… https://t.co/T9YzoUctbs'
NonSpam,'Modi govt completes three years. Let us know what is the mood of the nation with #????????. We will Retweet your op… https://t.co/4Llzp64dam'
Spam,'Just 15 minutes more! Bring out the best #Jhootingkar in you and win Flipkart vouchers. #WorldJhootingDay'
Spam,'Delighted to launch various projects of the Kandla Port Trust. Spoke on the importance of ports for India’s growth. https://t.co/lleRMfzFlq'
Spam,'Major Leetul Gogoi, who tied a man to a jeep to quell a violent, stone-pelting mob of hundreds, gets rewarded. Big morale boost for forces'
Spam,'Highlighted why water conservation is the need of the hour & how saving water will benefit the present & the future… https://t.co/Q629yZ95QZ'
Spam,'Sports Ministry\'s task force recommends setting up of empowered steering committee to take charge of 2020 Tokyo Games. #Olympics'
Spam,'Army Official Statement: Major Gogoi has been awarded Chief of Army Staff Commendation Card for sustained efforts o… https://t.co/s4iSzeQ6fr'
Spam,'Kal tum kahoge... #LagGayiTashreef! SONG OUT TOMORROW! @Y_films https://t.co/N3wU1CFwxD'
Spam,'Today’s day is historical for Kutch. We welcome Narmada waters with a commitment to use every drop for the progress… https://t.co/S0fj34GnZH'
Spam,'Desh Ka Mood: @narendramodi magic continues, NDA projected to win 331 seats\n#????????\nhttps://t.co/wzhesRyUYh https://t.co/k88BtCQzLB'
Spam,'There was , There Is and There would Be ONE n ONLY Baba .. Sanju Baba !! INCREDIBLE Look @duttsanjay #sanjaydutt… https://t.co/QnPlMGSwXy'
Spam,'#IndiaFirst Maj Nitin Gogoi awarded by Army Chief Gen Bipin Rawat with COAS commendation. Top focus at 8.25 @IndiaToday'
NonSpam,'Who\'s your pick? Tell us in the replies! #StarParivaarAwards, This Sunday at 8pm. https://t.co/B3ZWiJvAvV'
Spam,'Reign of fear, bloodshed & death - Is this what the Govt is celebrating after 3 years in power https://t.co/Ts48XJiZ8X'
Spam,'RT @milindkhandekar: #???????? NDA vote share going up by 7\% to touch 45\% while UPA up by 1\% to 28\% @abpnewstv CSDS poll.NDA 56\% in West &…'
Spam,'RT @milindkhandekar: #???????? NDA likely to get 331 seats if Loksabha polls were held now, this is just 4 seats less than 2014 @abpnewstv…'
Spam,'#Army Chief Gen #BipinRawat awards #MajorGogoi commendation card for \'sustained efforts\' on counter-insurgency operations.'
NonSpam,'OMG OMG.. @SimplySajidK must be hearing your voice .. \"Udti hi Phirun, Kuch Aise Rang se ... \" FAB @TheFarahKhan… https://t.co/EXYDkrfCGE'
Spam,'RT @cmohry: StateGovt & Singapore New Water Authority will collaborate to set up drinking water institute & restoration of 14000 water bodi…'
Spam,'RT @cmohry: Leading PE firm Equis Group is also interested to invest in Haryana in affordable housing, power transmission & renewable energ…'
Spam,'RT @cmohry: 30 top Singapore-based CEOs are keen to set up smart cities,solid waste treatment & waste water treatment plants,healthcare uni…'
NonSpam,'RT @cmohry: Leading companies like Hyflux, Ecosoft, Ascot, Mapletree Lgistics etc have evinced a great interest in setting up their units i…'
Spam,'RT @cmohry: Global aviation major @prattandwhitney has committed to set up its R&D facilities in Haryana with an investment of Rs 400 crore.'
Spam,'#MajorGogoi, who tied a man to a jeep as #humanshield in #Kashmir, awarded by #Army for counter-insurgency operations: Sources.'
Spam,'Major Gogoi being awarded the COAS Commendation for ``sustained efforts in counter insurgency operations,\'\' accordi… https://t.co/EUK70XYBYW'
NonSpam,'Congratulations! Your gratification awaits you. Please DM the details to us. #RadioStep https://t.co/xQP025OLDU… https://t.co/40aPhq0fnX'
Spam,'#???????? Vote share and seat prediction in Southern India - if polls were held today. NDA- 39 (-1), UPA - 52 (+29)… https://t.co/lKXwFkGnlq'
Spam,'@IndiaToday Both Attorney General & Army Hq were of the opinion that actions of Maj Nitin Gogoi, though raised eyeb… https://t.co/j5PdwQOflG'
Spam,'RT @cmohry: Haryana on the path of becoming the Start-up Hub of India. https://t.co/IVH5uGE80w'
Spam,'Maj Nitin Gogoi awarded with COAS Commendation Card for sustained effort in Counter Insurgency Operations. Breaking on @IndiaToday'
NonSpam,'Congratulations on 25 years of making all hearts dance to your steps! @TheFarahKhan https://t.co/IOatVTXUrk'
Spam,'1984 riots: #JagdishTytler refuses to undergo polygraph test\nhttps://t.co/9S7IOVLk1U https://t.co/4aEWofS5Wq'
NonSpam,'Every drop of innocent blood being shed is like a nail in the coffin of Democratic India. https://t.co/uSQYYZpHk9'
Spam,'Watch recording of AICC Press Briefing by @DrAMSinghvi\n\nhttps://t.co/FrwOP7HlEb'
Spam,'Is vigilantism a mindset which covers up the real objective, which is anti-Human Rights, anti-Dalit, communal & divisive: @DrAMSinghvi'
Spam,'RT @cmohry: CM @mlkhattar at a dinner function with investors at Hotel Shangri-La in Singapore today. https://t.co/JsEBb2P01E'
Spam,'BREAKING: Major Leetul Gogoi, officer who had man tied to jeep, has been awarded Army Chief Commendation Card for s… https://t.co/O9lecfGSXV'
Spam,'Police have become mute spectators & at times encouraging. In Jharkhand Police were present. 7 people were killed by mobs: @DrAMSinghvi'
Spam,'RT @YPRajesh: Even #AIMPLB falls in line on #TripleTalaq. @ShekharGupta explains why Nehru\'s hard secularism has been divorced. https://t.c…'
Spam,'Intolerance galore, innocents being targeted, state-sponsored violence, this is the new norm: @DrAMSinghvi AICC Press Briefing'
Spam,'Hey @SanghaviGrishma here\'s @mishkatvarma17 wishing you a very #HappyBirthday. Enjoy. https://t.co/BhKtIy9KX9'
Spam,'US Prez @realDonaldTrump denounces #Iran for supporting terrorists; vows never to allow Tehran to acquire #NuclearWeapons.'
NonSpam,'RT @PIB_India: LIVE from the presser by Textiles Minister @smritiirani: the #TextilesIndia2017 film https://t.co/QkX0kuoMl8'
Spam,'RT @airnewsalerts: Textile Minister @smritiirani addressing press conference about achievements of her Ministry in last 3 years at #NewDelh…'
Spam,'RT @milindkhandekar: #???????? Modi Magic continues in Western & Central India, NDA to win 105 out of 118 seats @abpnewstv CSDS poll if Lok…'
Spam,'#???????? Vote share and seat prediction in West and Central India - if polls were held today. NDA- 105 (-4), UPA -… https://t.co/dIQFPIHP6L'
Spam,'One newsman has the guts to show Jharkhand lynchings on prime time https://t.co/E2X5UbPgcT'
NonSpam,'There\'s hope for you, still. Hero ban jaa! Once in my life, I want to watch you doing your Family Dance, on-screen! https://t.co/0TdDMlhi1q'
Spam,'RT @TIME: A sea lion grabbed a young girl off a dock in Canada https://t.co/pt0qsRJ2vq'
NonSpam,'Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...'
NonSpam,'Ok lar... Joking wif u oni...'
Spam,'Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C\'s apply 08452810075over18\'s'
NonSpam,'U dun say so early hor... U c already then say...'
NonSpam,'Nah I don\'t think he goes to usf, he lives around here though'
Spam,'FreeMsg Hey there darling it\'s been 3 week\'s now and no word back! I\'d like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv'
NonSpam,'Even my brother is not like to speak with me. They treat me like aids patent.'
NonSpam,'As per your request \'Melle Melle (Oru Minnaminunginte Nurungu Vettam)\' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune'
Spam,'WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.'
Spam,'Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030'
NonSpam,'I\'m gonna be home soon and i don\'t want to talk about this stuff anymore tonight, k? I\'ve cried enough today.'
Spam,'SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info'
Spam,'URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18'
NonSpam,'I\'ve been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.'
NonSpam,'I HAVE A DATE ON SUNDAY WITH WILL!!'
Spam,'XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL'
NonSpam,'Oh k...i\'m watching here:)'
NonSpam,'Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.'
NonSpam,'Fine if that\'s the way u feel. That\'s the way its gota b'
Spam,'England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+'
NonSpam,'Is that seriously how you spell his name?'
NonSpam,'I\'m going to try for 2 months ha ha only joking'
NonSpam,'So ü pay first lar... Then when is da stock comin...'
NonSpam,'Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?'
NonSpam,'Ffffffffff. Alright no way I can meet up with you sooner?'
NonSpam,'Just forced myself to eat a slice. I\'m really not hungry tho. This sucks. Mark is getting worried. He knows I\'m sick when I turn down pizza. Lol'
NonSpam,'Lol your always so convincing.'
NonSpam,'Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom\'s left over dinner ? Do you feel my Love ?'
NonSpam,'I\'m back &amp; we\'re packing the car now, I\'ll let you know if there\'s room'
NonSpam,'Ahhh. Work. I vaguely remember that! What does it feel like? Lol'
NonSpam,'Wait that\'s still not all that clear, were you not sure about me being sarcastic or that that\'s why x doesn\'t want to live with us'
NonSpam,'Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won\'t go there! Not doing too badly cheers. You? ‘
NonSpam,'K tell me anything about you.'
NonSpam,'For fear of fainting with the of all that housework you just did? Quick have a cuppa'
Spam,'Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged'
NonSpam,'Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am'
NonSpam,'Oops, I\'ll let you know when my roommate\'s done'
NonSpam,'I see the letter B on my car'
NonSpam,'Anything lor... U decide...'
NonSpam,'Hello! How\'s you and how did saturday go? I was just texting to see if you\'d decided to do anything tomo. Not that i\'m trying to invite myself or anything!'
NonSpam,'Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola'
NonSpam,'Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy'
Spam,'07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow'
NonSpam,'WHO ARE YOU SEEING?'
NonSpam,'Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...'
NonSpam,'No calls..messages..missed calls'
NonSpam,'Didn\'t you get hep b immunisation in nigeria.'
NonSpam,'Fair enough, anything going on?'
NonSpam,'Yeah hopefully, if tyler can\'t do it I could maybe ask around a bit'
NonSpam,'U don\'t know how stubborn I am. I didn\'t even want to go to the hospital. I kept telling Mark I\'m not a weak sucker. Hospitals are for weak suckers.'
NonSpam,'What you thinked about me. First time you saw me in class.'
NonSpam,'A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;'
NonSpam,'K fyi x has a ride early tomorrow morning but he\'s crashing at our place tonight'
NonSpam,'Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about "the cave". I\'m sorry I didn\'t and don\'t have more to give. I\'m sorry i offered. I\'m sorry your room was so embarassing.'
Spam,'SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV'
NonSpam,'Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;'
Spam,'Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ‘
NonSpam,'Sorry, I\'ll call later in meeting.'
NonSpam,'Tell where you reached'
NonSpam,'Yes..gauti and sehwag out of odi series.'
NonSpam,'Your gonna have to pick up a $1 burger for yourself on your way home. I can\'t even move. Pain is killing me.'
NonSpam,'Ha ha ha good joke. Girls are situation seekers.'
NonSpam,'Its a part of checking IQ'
NonSpam,'Sorry my roommates took forever, it ok if I come by now?'
NonSpam,'Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.'
Spam,'As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589'
NonSpam,'Today is "song dedicated day.." Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...'
Spam,'Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ'
Spam,'Did you hear about the new "Divorce Barbie"? It comes with all of Ken\'s stuff!'
NonSpam,'I plane to give on this month end.'
NonSpam,'Wah lucky man... Then can save money... Hee...'
NonSpam,'Finished class where are you.'
NonSpam,'HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX'
NonSpam,'K..k:)where are you?how did you performed?'
NonSpam,'U can call me now...'
NonSpam,'I am waiting machan. Call me once you free.'
NonSpam,'Thats cool. i am a gentleman and will treat you with dignity and respect.'
NonSpam,'I like you peoples very much:) but am very shy pa.'
NonSpam,'Does not operate after  &lt;#&gt;  or what'
NonSpam,'Its not the same here. Still looking for a job. How much do Ta\'s earn there.'
NonSpam,'Sorry, I\'ll call later'
NonSpam,'K. Did you call me just now ah? ‘
NonSpam,'Ok i am on the way to home hi hi'
NonSpam,'You will be in the place of that man'
NonSpam,'Yup next stop.'
NonSpam,'I call you later, don\'t have network. If urgnt, sms me.'
NonSpam,'For real when u getting on yo? I only need 2 more tickets and one more jacket and I\'m done. I already used all my multis.'
NonSpam,'Yes I started to send requests to make it but pain came back so I\'m back in bed. Double coins at the factory too. I gotta cash in all my nitros.'
NonSpam,'I\'m really not up to it still tonight babe'
NonSpam,'Ela kano.,il download, come wen ur free..'
NonSpam,'Yeah do! Don\'t stand to close tho- you\'ll catch something!'
NonSpam,'Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven\'t done any of y stuff42moro and that includes all my time sheets and that. Sorry. ‘
NonSpam,'Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!'
Spam,'Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!'
NonSpam,'Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?'
Spam,'Your free ringtone is waiting to be collected. Simply text the password "MIX" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16'
NonSpam,'Watching telugu movie..wat abt u?'
NonSpam,'i see. When we finish we have loads of loans to pay'
NonSpam,'Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"‘
NonSpam,'I see a cup of coffee animation'
NonSpam,'Please don\'t text me anymore. I have nothing else to say.'
