@relation MyTestRelation

@attribute spamclass string
@attribute tweetcontent string

@data
Spam,'@lyricwaters should\'ve gave the neighbor  a buzz. Iv got ice cream and moms baked goodies ??'
Spam,'On the way to CT! (@ Mamaroneck, NY in Mamaroneck, NY) https://t.co/6rpe6MXDkB'
Spam,'We\'re #hiring! Read about our latest #job opening here: Retail Sales Consultant [CWA MOB] Bryn Mawr PA - https://t.co/bBwxSPsL4f #Retail'
Spam,'Me... @ Montgomery Scrap Corporation https://t.co/kpt7zM4xbL'
NonSpam,'BAYADA Home Health Care: Home Health Registered Nurse (#GlenBurnie, MD) https://t.co/m53vlvEyO0 #Job #Jobs #Hiring'
Spam,'Shift Supervisor Trainee - CVS Health: (#OCEANCITY, MD) https://t.co/BqCqtHS9bO #Retail #Job #Jobs #Hiring #CareerArc'
Spam,'#007 #jamesbond #blacktie #redcarpet #vip #gambling #youonlylivetwice #diamondsareforever… https://t.co/ZXRyEC9Dlg'
Spam,'Although I am not endorsing a candidate, I thought this was… https://t.co/72ctPqptOA'
NonSpam,'I think spring finally has arrived! (@ Milwaukee Lakefront in Milwaukee, WI) https://t.co/usjyJETrQV'
Spam,'Want to work in #Burlington, MA? View our latest opening: https://t.co/qwwWQt0DMj #Healthcare #Job #Jobs #Hiring #CareerArc'
Spam,'Want to work in #Charlotte, NC? View our latest opening: https://t.co/nkrJjulisQ #BusinessMgmt #insurance #Job #Jobs #Hiring'
NonSpam,'you\'ll love this @34jaIIen https://t.co/fL7YNLOAsk'
Spam,'#Engineering #Job alert: Prod Engr - Software | ZF TRW | #Livonia, MI https://t.co/c86RXWivrk #Veterans #Jobs #Hiring'
Spam,'Can you recommend anyone for this #job? Clinical Applications Coordinator - Ancillary - https://t.co/MKe3sLrMFt #Atlanta, GA #IT #Hiring'
Spam,'I\'m at @InNOutBurger in Long Beach, CA https://t.co/uqmEomzVKZ'
Spam,'Don’t think about what can happen in a month. Don’t think about what can happen in a year. Just… https://t.co/2JFQNg7Kq6'
Spam,'Vacation here I come !! @ Official JetBlue Terminal - LaGuardia… https://t.co/IashwLv0ao'
Spam,'?? @ Foro Sol, Mexico D.F. https://t.co/PbAbOVEPCl'
Spam,'Can you recommend anyone for this #Hospitality #job? https://t.co/opAs4JitFl #restaurantjobs #Fairfax, VA #Hiring #CareerArc'
Spam,'We\'re #hiring! Click to apply: Manager Trainee-Retail Sales - https://t.co/pvhrRytQ9L #Retail #WinstonSalem, NC #Job #Jobs #CareerArc'
NonSpam,'I\'m at Home https://t.co/fDCP5atErT'
Spam,'See our latest #Savannah, GA #job and click to apply: Structural Mechanic II - https://t.co/t4cYAS9Ceb #Manufacturing #Hiring'
Spam,'Want to work at Macy\'s Beauty? We\'re #hiring in #Vorhees, NJ! Click for details: https://t.co/976Ux7tqsS #Sales #Job #Jobs #CareerArc'
Spam,'Can you recommend anyone for this #job? Registered Nurse | RN | MS (Contract) - https://t.co/qUivCRlU5c #RN #Nursing https://t.co/dF6zpB6uYr'
Spam,'?? is ?? @ Jupiter Donuts North Palm https://t.co/QO2cgVUIsC'
NonSpam,'in #TomsRiver, NJ: Hourly Home Care Nurses Needed (Registered Nurse RN / Licensed... at BAYADA Home Health Care https://t.co/ODNWErZ0sg'
Spam,'Want to work at Aerotek? We\'re #hiring in #Duluth, GA! Click for details: https://t.co/PShztQSvgX #CustomerService #Job #Jobs'
NonSpam,'It is a beautiful Saturday morning!!! Get out &amp; enjoy??????\n#HappySaturday!!! @ Clearwater Beach… https://t.co/qMmkcauTjG'
Spam,'Remember that time we got Lucas some #DoleWhip and he spilled the whole thing on his leg on his… https://t.co/bQ6CPqL93k'
Spam,'I\'m at Universidad Intercontinental - @uicmx in México, DF https://t.co/NV870nyOaZ'
Spam,'See our latest #WestStPaul, MN #job and click to apply: MACHINE OPERATOR - https://t.co/f4nllAKHtm #Manufacturing https://t.co/kk0MsO1fss'
Spam,'Just posted a photo @ Memories Bar &amp; Grill https://t.co/Vl8xlzZYN1'
Spam,'Let\'s get this Saturday started! (@ Starbucks in Crown Point, IN) https://t.co/dQZA4tB2jC'
Spam,'I just began a doing circuit training workout using #Endomondo. Peptalk me now @ https://t.co/Lsdhsl50V0'
NonSpam,'Having a slight craving for rock climbing and waterfall jumps???#stayswoopinfolks @ Linville… https://t.co/AGVQlOaFCD'
NonSpam,'Ran the B.A.A. 5k this morning with Chris Sanford and finished with the exact same time as last… https://t.co/m8ClCPqjiR'
Spam,'I\'m  proud of myself! My feet not so much.. ?? I\'m going to have to… https://t.co/Qc2s2BHRny'
Spam,'Can you recommend anyone for this #IT #job? https://t.co/5LXR45vFwh #Cleveland, OH #Hiring https://t.co/JZu6ghfmVY'
Spam,'If you\'re a #Hospitality professional in 620 MARKETPLACE DRIVE, #BELAIR, MD, check out this #job: https://t.co/72KLimPrrd #Veterans #Hiring'
Spam,'#Healthcare #Job alert: Physical Therapist (PT) /... | Accountable Healthcare Staffing | #MurrellsInlet, SC https://t.co/cnnBVRzVgv #Jobs'
Spam,'Can you recommend anyone for this #job? Clinical Project Manager - https://t.co/U2jlHyTkV5 #FairLawn, NJ #Pharmaceutical #Hiring'
Spam,'AT&amp;T #Engineering #Job: Senior eCommerce Reporting Analyst (#Atlanta, GA) https://t.co/N7JYUa6Kxg #Jobs #Hiring #CareerArc'
Spam,'South African send off! #sarahbolen #SarahPreAfrica #BolenInTheBush #FutureQueenofNamibia… https://t.co/U2t7NNhvam'
